"","(Intercept)","Root","Salinity","Root:Salinity"
"ASV_28",NA,0.189769756388159,10.7479357334124,9.16636501463711
"ASV_49",NA,0.795240847232662,8.7417628542035,7.36279889395922
"ASV_9",NA,0.234643473566507,50.1807767906848,0.000669348675558012
"ASV_4",NA,0.124465519023602,23.9997390809359,2.89965103531136
"ASV_244",NA,1.36266370832035,5.03393655339718,4.90391501447756
"ASV_116",NA,1.07458252729569,34.4287632024352,1.17154286272125e-10
"ASV_101",NA,1.02991055910724,20.2508869752475,2.38013538593367
"ASV_76",NA,2.24429886155366,8.55325045403072,6.61500824570248
"ASV_1062",NA,2.82800853872534,5.18247308606334,0.000505882597629181
"ASV_3",NA,2.89600777802798,5.64401036998348,2.3814744254247
"ASV_39",NA,2.26067425230065,6.33483849680277,1.76230595918281
"ASV_32",NA,0.142302702775623,14.0628317133922,9.58085289230468
"ASV_10",NA,6.4693618628487,0.824516720610745,0.996592975246472
"ASV_415",NA,4.35095941834738,4.51057193251239,0.000299645556395944
"ASV_65",NA,0.74237444392628,23.2176919944974,1.24915258508736
"ASV_47",NA,0.558681301481727,4.13007592453374,5.18206100963988
"ASV_22",NA,1.43174985326959,8.46622942929667,0.726418595424775
"ASV_249",NA,0.0613664599222261,6.86512807731995,2.62069023996619
"ASV_351",NA,1.3401699239389,8.94287451257759,8.80187771948158
"ASV_13",NA,1.26905131963372,4.13283959609873,0.67192863835669
"ASV_581",NA,2.81845333085145,5.13064375017212,0.000524806095519637
"ASV_18",NA,2.47055670758346,4.91965121808971,1.19252265930027
"ASV_689",NA,0.0301514667241634,29.9430531803512,3.5527136788005e-13
"ASV_34",NA,0.950085940567362,6.79230350245632,0.618925744338299
"ASV_73",NA,1.98457110964887,11.2645617982707,0.563571241695286
"ASV_112",NA,4.28633085024961,3.08313073535197,2.63155104707965
"ASV_33",NA,1.39198793162024,18.6989049214292,1.43085720541458
"ASV_100",NA,2.61660747570176,5.81315817056714,3.23627591893637
"ASV_327",NA,0.073173587940687,0.0864457629126036,0.0349380019710566
"ASV_26",NA,0.174349429212953,1.6483230182954,2.33248376448705
"ASV_21",NA,1.99860648716037,9.59438329091313,1.16160386432693
"ASV_23",NA,0.691178608955212,10.3767203982339,3.57599697053956e-06
"ASV_284",NA,0.0375614161221733,68.9495656583351,-2.38742359215394e-12
"ASV_19",NA,2.42522838325681,0.83599466124906,0.668460479384294
"ASV_31",NA,0.00273900169128183,22.342873596172,4.63004099093399
"ASV_140",NA,0.411156538279897,35.8902031642237,3.29691829392686e-11
"ASV_763",NA,0.00306926046869194,7.6333615764996,10.0410125331741
"ASV_30",NA,0.912364494501162,31.3004644349111,9.64348600973608e-11
"ASV_80",NA,0.0805484463772927,25.3883195742105,3.6484677032027
"ASV_17",NA,0.0657412425426287,27.1380577007472,11.3931046477512
"ASV_188",NA,1.2662852232877,4.32022839580145,0.221800028748248
"ASV_29",NA,0.612724517566562,0.23536387307638,2.61637938466163
"ASV_224",NA,1.61588312137195,0.845331500973316,0.719509489019003
"ASV_548",NA,1.37598110585732,2.39971272404653,0.00051035671289057
"ASV_25",NA,0.251018308043257,39.6656044938571,5.81771744070477
"ASV_48",NA,2.12196245686084,7.7529153840668,0.970147623798198
"ASV_260",NA,0.00318016161742207,18.5572386456161,6.83723216521179
"ASV_663",NA,0.827722644527555,13.2998527433996,3.31631318317704e-06
"ASV_43",NA,5.55157670889855,11.5642395791706,0.683776041438591
"ASV_147",NA,1.41831205893874,6.37348198314027,0.0466129960718149
"ASV_420",NA,0.718252644506777,6.97946897765553,4.97756886315312
"ASV_250",NA,1.48157582993065,1.61746617004553,1.51718836171193
"ASV_358",NA,3.68379674703914,2.42308718175309,4.86113259148999
"ASV_27",NA,0.942825607115992,31.3299331658886,0.219117650127004
"ASV_501",NA,1.04289727529299,13.0678792988367,7.88478534730075e-06
"ASV_52",NA,1.26408928296007,4.29204914996586,1.83378483889999
"ASV_106",NA,0.442899741891893,8.33474208425059,0.661693318689629
"ASV_302",NA,0.587922086023553,45.3037266717418,2.21120899368543e-11
"ASV_134",NA,3.51758935946089,0.121595896357121,0.252277502522361
"ASV_12",NA,0.0939415605382976,63.0301795198469,5.17275111633353e-12
"ASV_1005",NA,0.148451958718084,3.53757316236022,3.41732639836133
"ASV_485",NA,0.00225981011374188,15.4380302855608,2.60592185509394
"ASV_2014",NA,2.84176234594786,5.25985988683258,0.000471673931414784
"ASV_37",NA,1.25963423998428,1.78384880505348,3.66501219449543
"ASV_442",NA,1.84249269120613,4.51332879888963,1.16544932778163
"ASV_222",NA,3.7561683110581,0.242299265120892,1.01968710885143
"ASV_988",NA,0.0740734810742651,2.48148595475374,4.1438407615619
"ASV_111",NA,0.196689620390771,8.10304099240119,0.672049869053296
"ASV_212",NA,0.0190668347336214,1.14148861309752,0.520479915722319
"ASV_1705",NA,1.3756071919533,2.39807815715191,0.000482010271440458
"ASV_46",NA,2.49861443223693,3.37858481221718,0.103807833725
"ASV_41",NA,2.1476573603835,4.78642246703231,0.530264478070194
"ASV_6",NA,0.00032055505482731,10.2502403415626,0.341157882334414
"ASV_60",NA,0.0262687048758039,29.6950008809882,0.652906120686794
"ASV_168",NA,4.42151789741513,2.1681515492802,3.61286975116951
"ASV_692",NA,2.84172797250413,3.30826015687461,5.31174371659381
"ASV_423",NA,0.138162008765562,5.33661250668854,3.39017058652757
"ASV_20",NA,0.131033157548046,71.6659580428898,1.13686837721616e-12
"ASV_70",NA,1.45107755623451,3.26126235750894,2.72807461225176
