"","H1","H2","H3","H4","H5","U1","U2","U3","U4","U5"
"ASV_142",0,0,0,6,0,0,0,0,0,0
"ASV_146",41,0,0,4983,0,0,0,138,0,37
"ASV_147",0,7,0,0,0,0,0,0,0,33
"ASV_148",0,7,0,18,0,0,0,0,0,7
"ASV_151",0,0,0,9,0,0,0,0,0,0
"ASV_152",0,0,0,0,0,0,0,0,0,13
"ASV_154",0,0,0,22,0,0,0,0,0,0
"ASV_155",28,38,0,4912,0,0,0,0,0,0
"ASV_157",0,0,0,0,0,0,0,3,0,0
"ASV_160",4,0,0,17,0,0,0,0,0,0
"ASV_161",47,0,32,0,0,0,480,0,74,4270
"ASV_162",0,0,0,10,0,10,0,0,0,0
"ASV_164",174,121,1045,0,0,0,0,0,43,0
"ASV_165",0,0,33,0,0,117,30,2896,713,117
"ASV_166",0,0,71,0,0,0,0,0,0,0
"ASV_167",15,0,0,35,0,0,0,23,0,127
"ASV_171",67,143,244,14,0,810,31,877,255,2096
"ASV_172",0,0,0,0,0,0,0,13,0,0
"ASV_174",1002,80,3263,143,0,0,0,0,0,0
"ASV_175",1194,119,256,2320,148,0,0,0,0,26
"ASV_176",1004,213,584,2188,67,0,201,67,106,100
"ASV_177",0,0,0,16,0,0,0,0,0,0
"ASV_179",0,0,0,19,0,0,0,0,0,0
"ASV_182",0,0,0,13,0,0,0,0,0,0
"ASV_187",0,6,0,0,0,0,0,0,0,0
"ASV_190",702,1042,27,2336,210,0,0,42,0,0
"ASV_191",0,0,0,33,0,0,0,0,0,0
"ASV_194",0,16,40,0,0,818,60,1052,638,1577
"ASV_197",96,0,1694,147,0,5,15,135,124,101
"ASV_198",0,0,0,0,0,0,0,10,0,0
"ASV_199",0,0,0,19,0,0,0,0,0,0
"ASV_201",662,52,1427,216,0,6,17,563,109,0
"ASV_204",132,1898,1990,0,48,0,0,0,0,0
"ASV_207",0,0,0,14,0,0,0,0,0,0
"ASV_208",9,33,376,7,0,0,0,3128,41,0
"ASV_209",1355,43,1784,781,0,0,18,0,0,0
"ASV_212",9,86,57,19,0,0,0,0,0,0
"ASV_215",8,0,0,8,0,7,0,14,15,14
"ASV_216",33,0,0,50,0,0,0,0,0,0
"ASV_218",0,0,0,9,0,0,0,0,0,0
"ASV_220",0,3,0,0,0,0,0,0,0,0
"ASV_222",20,0,0,0,0,0,0,0,0,0
"ASV_227",0,0,0,14,0,0,0,0,0,0
"ASV_230",0,0,0,0,0,265,647,148,0,2067
"ASV_238",68,12,74,0,0,283,0,954,0,2121
"ASV_239",0,0,0,11,0,0,0,0,0,11
"ASV_245",0,0,0,11,0,0,0,0,0,0
"ASV_246",0,0,0,12,0,0,0,0,0,0
"ASV_247",0,0,11,0,0,0,11,69,37,35
"ASV_248",6,0,0,16,0,0,0,0,0,0
"ASV_249",127,60,36,326,0,0,0,24,0,10
"ASV_250",0,0,9,0,0,0,0,0,0,0
"ASV_251",1501,58,426,500,23,0,139,315,437,46
"ASV_252",0,0,0,48,0,0,0,0,0,0
"ASV_255",0,0,0,18,0,0,0,0,0,0
"ASV_256",109,917,450,0,170,0,0,976,0,271
"ASV_259",0,0,0,11,0,0,0,0,0,0
"ASV_260",43,0,0,0,0,0,0,0,0,0
"ASV_261",3235,0,0,0,0,0,0,0,0,0
"ASV_264",0,0,0,0,0,0,23,0,0,3183
"ASV_268",0,0,3181,0,0,0,0,15,0,0
"ASV_273",0,0,0,18,0,0,0,0,0,0
"ASV_274",0,0,23,19,0,136,607,582,310,1161
"ASV_276",90,22,3002,0,0,41,0,0,0,0
"ASV_277",9,0,0,0,0,0,0,0,0,0
"ASV_278",0,0,0,0,0,36,0,22,0,0
"ASV_279",326,58,1737,832,148,0,0,0,0,0
"ASV_280",0,909,0,0,0,41,0,36,1937,15
"ASV_281",0,0,0,23,0,0,0,0,0,0
"ASV_284",0,0,15,16,0,116,0,25,0,12
"ASV_286",424,535,290,1486,0,0,0,0,0,10
"ASV_287",0,0,0,0,0,0,0,0,0,11
"ASV_288",0,0,0,0,0,0,0,46,0,0
"ASV_289",518,704,129,1015,29,0,0,0,0,0
"ASV_291",0,148,21,13,0,155,64,468,1559,250
"ASV_294",0,49,13,9,0,125,54,590,400,1327
"ASV_295",0,16,0,0,0,0,0,0,0,0
"ASV_298",0,0,94,0,0,272,0,855,71,1382
"ASV_299",84,94,1982,0,14,35,0,247,21,370
"ASV_300",0,0,0,0,0,0,0,9,0,0
"ASV_301",0,0,2895,0,0,0,0,0,0,0
"ASV_302",0,0,0,8,0,18,0,10,7,0
"ASV_303",0,0,0,8,0,0,0,10,0,0
"ASV_305",0,0,0,30,0,0,0,0,0,0
"ASV_306",438,19,817,1502,0,0,0,22,0,0
"ASV_307",0,0,0,106,0,0,0,0,0,0
"ASV_309",2057,39,556,38,0,0,0,100,0,0
"ASV_312",0,0,67,0,0,359,157,49,110,1817
"ASV_314",154,7,2531,50,0,0,0,0,0,19
"ASV_316",0,0,0,0,0,0,0,0,0,15
"ASV_319",9,0,0,2554,137,0,0,0,0,0
"ASV_322",89,1456,1159,0,0,0,0,0,0,10
"ASV_328",52,17,55,136,0,0,0,0,0,17
"ASV_330",0,0,0,8,0,0,0,0,0,0
"ASV_331",31,0,44,0,0,261,0,1525,320,220
"ASV_332",40,45,0,2502,0,0,0,0,0,43
"ASV_335",121,1048,469,17,0,93,0,202,0,57
"ASV_336",0,7,0,20,0,0,0,0,0,0
"ASV_338",0,244,18,26,0,203,81,0,1483,58
"ASV_344",0,0,0,0,0,0,0,15,0,0
"ASV_346",0,4,0,9,0,0,0,0,0,0
"ASV_347",0,0,14,5,0,0,0,0,0,0
"ASV_355",0,0,0,0,0,27,40,597,69,905
