,Root f stat,Salinity f stat,Root p value,Salinity p value
ASV_7,1.384445614,2.912583435,0.999000999,0.992007992
ASV_59,1.143151526,3.293475415,0.999000999,0.992007992
ASV_369,1.035895642,3.015053383,0.999000999,0.992007992
ASV_153,0.778767366,2.88923503,0.999000999,0.992007992
ASV_1005,0.148451959,3.537573162,1,0.992007992
ASV_556,0.120694783,2.673144177,1,0.992007992
ASV_168,4.421517897,2.168151549,0.931068931,0.994005994
ASV_295,3.961786064,1.995977188,0.956043956,0.994005994
ASV_358,3.683796747,2.423087182,0.965034965,0.994005994
ASV_1004,1.845558334,1.87289732,0.998001998,0.994005994
ASV_548,1.375981106,2.399712724,0.999000999,0.994005994
ASV_37,1.25963424,1.783848805,0.999000999,0.994005994
ASV_1705,1.375607192,2.398078157,0.999000999,0.994005994
ASV_936,0.975832,2.333239207,0.999000999,0.994005994
ASV_1050,1.375722074,2.398579538,0.999000999,0.994005994
ASV_418,1.064118556,2.488396791,0.999000999,0.994005994
ASV_441,0.827493322,2.412212894,0.999000999,0.994005994
ASV_1735,1.375607192,2.398078157,0.999000999,0.994005994
ASV_233,1.278452984,2.479925905,0.999000999,0.994005994
ASV_81,1.559093362,1.936065608,0.999000999,0.994005994
ASV_82,1.375509788,2.397653788,0.999000999,0.994005994
ASV_988,0.074073481,2.481485955,1,0.994005994
ASV_142,0.006770796,1.925767164,1,0.994005994
ASV_157,0.327510502,2.213307195,1,0.994005994
ASV_1267,0.004640291,2.262243817,1,0.994005994
ASV_183,2.63E-07,2.298017042,1,0.994005994
ASV_26,0.174349429,1.648323018,1,0.997002997
ASV_250,1.48157583,1.61746617,0.999000999,0.998001998
ASV_304,0.914826346,1.575069091,0.999000999,0.998001998
ASV_216,0.672398124,1.393399415,0.999000999,0.999000999
ASV_212,0.019066835,1.141488613,1,0.999000999
ASV_135,0.245750654,1.346133661,1,0.999000999
ASV_163,0.023059452,1.407547519,1,0.999000999
ASV_1078,7.54E-06,1.228620793,1,0.999000999
ASV_513,0.020320525,1.04567632,1,0.999000999
ASV_118,30.25997616,0.139876179,0.000999001,1
ASV_313,6.612204369,0.467619476,0.619380619,1
ASV_10,6.469361863,0.824516721,0.648351648,1
ASV_91,4.089045147,0.920666257,0.951048951,1
ASV_222,3.756168311,0.242299265,0.963036963,1
ASV_134,3.517589359,0.121595896,0.965034965,1
ASV_93,2.935417798,0.155528619,0.988011988,1
ASV_19,2.425228383,0.835994661,0.992007992,1
ASV_53,2.423651218,0.864723528,0.992007992,1
ASV_79,2.79876805,0.94994781,0.992007992,1
ASV_29,0.612724518,0.235363873,0.999000999,1
ASV_224,1.615883121,0.845331501,0.999000999,1
ASV_74,0.495009465,1.008003442,0.999000999,1
ASV_127,0.972488554,0.861360792,0.999000999,1
ASV_327,0.073173588,0.086445763,1,1
ASV_243,0.22074538,0.513160787,1,1
ASV_916,0.100613842,0.579055649,1,1
ASV_143,0.442518009,0.646198409,1,1
ASV_136,0.29862976,1.025183573,1,1
