SampleID,X1_Ambient_Intact,X10_Ambient_Disrupted,X11_Ambient_Disrupted,X12_Ambient_Disrupted,X2_Ambient_Intact,X3_Ambient_Intact,X39_Medium_Intact,X4_Ambient_Intact,X40_Medium_Intact,X41_Medium_Intact,X42_Medium_Intact,X43_Medium_Intact,X44_Medium_Intact,X46_Medium_Disrupted,X47_Medium_Disrupted,X48_Medium_Disrupted,X49_Medium_Disrupted,X5_Ambient_Intact,X50_Medium_Disrupted,X6_Ambient_Intact,X7_Ambient_Disrupted,X77_Low_Intact,X78_Low_Intact,X79_Low_Intact,X8_Ambient_Disrupted,X80_Low_Intact,X81_Low_Intact,X82_Low_Intact,X83_Low_Disrupted,X84_Low_Disrupted,X85_Low_Disrupted,X86_Low_Disrupted,X87_Low_Disrupted,X88_Low_Disrupted,X9_Ambient_Disrupted
ASV_1196_Pseudodesulfovibrio,0.044090714,0.024901776,0,0.035345205,0,0,0.025723587,0.017293794,0,0.015466229,0.029200277,0,0.028602194,0.042651449,0.036506343,0.012956626,0,0,0.023072455,0,0.024774321,0,0,0.024591028,0.021016792,0,0.031204899,0,0.013123114,0.015296221,0.097237316,0.023321983,0.009540073,0.020909566,0.034285849
ASV_1197_Unidentified Sedimenticolaceae,0,0,0.046901801,0.095936985,0,0,0,0.021844793,0.083339647,0,0,0,0.04206205,0.088244378,0,0.028961869,0,0,0.045349309,0.041749956,0,0.137457045,0.04145937,0.029275033,0,0,0.017942817,0,0,0,0,0.023321983,0.015264117,0,0.022463143
ASV_1198_Caldithrix,0,0.046114401,0.025460978,0,0,0,0,0,0,0.066504787,0,0,0.03364964,0,0,0.018291707,0.078466806,0,0,0,0.164129879,0,0,0,0,0.064321918,0,0.038984531,0,0.08795327,0,0.077739944,0.046746358,0.047627345,0
ASV_1199_Unidentified Gastranaerophilaceae,0.01017478,0.01844576,0.017420669,0.04376073,0.051020408,0.058690366,0.019514445,0.008191797,0,0.024745967,0.018250173,0,0.037014604,0.007353698,0.021295367,0.108225933,0,0,0.008751621,0.010121201,0.027871112,0,0.019002211,0,0.05464366,0,0.014042205,0.021831337,0.052492454,0.012428179,0,0.021767184,0.027666212,0.038334205,0.009458165
ASV_1200_Sulfurimonas,0.035046465,0,0,0,0,0,0.026610607,0.022754992,0.068186984,0.043305443,0.065700624,0.087127986,0.094218992,0,0.03194305,0.022864634,0.02377782,0,0.01670764,0,0.026322717,0,0,0.030446034,0.05464366,0.041166028,0.025744042,0.046781437,0,0,0,0.051308363,0,0,0
ASV_1201_WC007,0,0.037813808,0.026801029,0,0,0,0.024836567,0.063713979,0,0.046398688,0.040150381,0,0.030284676,0,0,0.029724024,0.024966711,0,0.01670764,0,0,0,0,0.018736021,0.035728547,0,0,0.040543912,0.022496766,0.045888663,0,0,0.025758197,0.022071209,0.024827684
ASV_1202_Hungateiclostridium,0,0,0.033501286,0,0,0.108996395,0.023949546,0.051881383,0.176781069,0,0.024637734,0,0.043744532,0,0,0.022864634,0.039233403,0.08907694,0,0,0,0,0,0,0,0,0.020283184,0,0.029995688,0,0,0.051308363,0,0.04530406,0
ASV_1203_Unidentified Rhizobiales,0,0,0.053602058,0.07069041,0,0,0,0,0,0,0,0.188013023,0,0,0.041069636,0.060972357,0.03566673,0,0,0,0.075871359,0.260186549,0,0,0,0,0,0,0.083425508,0.043976635,0,0.096397531,0,0.055758843,0
ASV_1205_Unidentified Desulfatiglandaceae,0,0.043347537,0.017420669,0,0,0.062882535,0,0.02912639,0.058085208,0.020106098,0.038325364,0,0.05888687,0,0,0.026675406,0,0.055673088,0,0.045545406,0.038709877,0,0,0,0,0,0.039006124,0.031187625,0.025308862,0.025812373,0,0.034205576,0.016218124,0.024394494,0
ASV_1206_Unidentified Desulfuromonadales,0,0,0,0.099303195,0,0,0,0,0.111119529,0,0.050187977,0,0,0.073536982,0,0,0,0,0.042166901,0,0,0,0,0.065576074,0.02732183,0,0.173967313,0,0,0,0,0.02798638,0,0,0
ASV_1208_Desulfobacter,0.038438058,0,0.026801029,0.01683105,0,0,0.020401465,0.037318188,0.042932545,0.023199344,0.025550243,0.068785252,0.026919712,0.036768491,0.018253171,0.017529553,0,0,0.027050465,0.035424205,0.023225926,0,0,0.031617036,0.018915113,0,0.051488084,0.035865768,0,0,0,0.021767184,0,0,0.016551789
