"","SampleID","Salinity","Mean_Relabun","SEM"
"79","ASV_1025_Ruminiclostridium","Ambient",0.0238177050833333,0.00742570172345731
"80","ASV_1025_Ruminiclostridium","Low",0.0204990344166667,0.0065441801774572
"81","ASV_1025_Ruminiclostridium","Medium",0.0181423453636364,0.00592040557921732
"82","ASV_1027_Alteraurantiacibacter","Ambient",0.0273131169166667,0.0070809630398473
"83","ASV_1027_Alteraurantiacibacter","Low",0.0188711564166667,0.00548594568427174
"84","ASV_1027_Alteraurantiacibacter","Medium",0.0250365748181818,0.00441240072400853
"85","ASV_1028_GCA-2748055","Ambient",0.01554141725,0.00624199021901653
"86","ASV_1028_GCA-2748055","Low",0.047549859,0.0140863124669324
"87","ASV_1028_GCA-2748055","Medium",0.0234377793636364,0.00489182689224377
"88","ASV_102_Unidentified Gammaproteobacteria","Ambient",0.244146147916667,0.026907679821187
"89","ASV_102_Unidentified Gammaproteobacteria","Low",0.184420415833333,0.0274023346135997
"90","ASV_102_Unidentified Gammaproteobacteria","Medium",0.272546751545455,0.0298762926556249
"91","ASV_1030_Desulfopila","Ambient",0.0276983148333333,0.00521137741767266
"92","ASV_1030_Desulfopila","Low",0.0172237351666667,0.00490606630514718
"93","ASV_1030_Desulfopila","Medium",0.0349789631818182,0.00963496180215604
"94","ASV_1031_Unidentified Firmicutes_A","Ambient",0.0307473315,0.00446707141442038
"95","ASV_1031_Unidentified Firmicutes_A","Low",0.0164941345,0.00426337695957807
"96","ASV_1031_Unidentified Firmicutes_A","Medium",0.0256853048181818,0.00309830755650628
"97","ASV_1032_Draconibacterium","Ambient",0.0345295335,0.0117111704870153
"98","ASV_1032_Draconibacterium","Low",0.031845173,0.00675884379228804
"99","ASV_1032_Draconibacterium","Medium",0.0208963371818182,0.00590231487665187
"100","ASV_1033_RFSX01","Ambient",0.0232532881666667,0.00941892072101727
"101","ASV_1033_RFSX01","Low",0.0389510008333333,0.0157014773367957
"102","ASV_1033_RFSX01","Medium",0.0184378742727273,0.0056570398355332
"103","ASV_1034_Dokdonia","Ambient",0.0329283175,0.00956923105703394
"104","ASV_1034_Dokdonia","Low",0.0172689079166667,0.0065099673767984
"105","ASV_1034_Dokdonia","Medium",0.0333270204545455,0.011881949357463
"106","ASV_1036_UBA5623","Ambient",0.0304561481666667,0.00633710704559254
"107","ASV_1036_UBA5623","Low",0.02166215,0.00581676431385399
"108","ASV_1036_UBA5623","Medium",0.02720926,0.00506017710166458
