"","H1","H2","H3","H4","H5","U1","U2","U3","U4","U5"
"ASV_161",66,0,8,0,0,0,2460,0,165,1576
"ASV_162",0,0,0,47,0,26,0,0,0,0
"ASV_164",244,21,270,0,0,0,0,0,96,0
"ASV_165",0,0,9,0,0,305,154,1105,1587,43
"ASV_166",0,0,18,0,0,0,0,0,0,0
"ASV_167",21,0,0,166,0,0,0,9,0,47
"ASV_171",94,25,63,66,0,2111,159,334,568,774
"ASV_174",1405,14,843,678,0,0,0,0,0,0
"ASV_175",1674,21,66,10996,371,0,0,0,0,10
"ASV_176",1408,37,151,10371,168,0,1030,26,236,37
"ASV_177",0,0,0,76,0,0,0,0,0,0
"ASV_179",0,0,0,90,0,0,0,0,0,0
"ASV_190",984,181,7,11072,526,0,0,16,0,0
"ASV_191",0,0,0,156,0,0,0,0,0,0
"ASV_194",0,3,10,0,0,2132,308,401,1420,582
"ASV_197",135,0,437,697,0,13,77,51,276,37
"ASV_199",0,0,0,90,0,0,0,0,0,0
"ASV_201",928,9,368,1024,0,16,87,215,243,0
"ASV_204",185,330,514,0,120,0,0,0,0,0
"ASV_208",13,6,97,33,0,0,0,1193,91,0
"ASV_209",1900,7,461,3702,0,0,92,0,0,0
"ASV_212",13,15,15,90,0,0,0,0,0,0
"ASV_215",11,0,0,38,0,18,0,5,33,5
"ASV_216",46,0,0,237,0,0,0,0,0,0
"ASV_222",28,0,0,0,0,0,0,0,0,0
"ASV_230",0,0,0,0,0,691,3316,56,0,763
"ASV_238",95,2,19,0,0,738,0,364,0,783
"ASV_239",0,0,0,52,0,0,0,0,0,4
"ASV_247",0,0,3,0,0,0,56,26,82,13
"ASV_248",8,0,0,76,0,0,0,0,0,0
"ASV_249",178,10,9,1545,0,0,0,9,0,4
"ASV_251",2105,10,110,2370,58,0,712,120,973,17
"ASV_252",0,0,0,228,0,0,0,0,0,0
"ASV_255",0,0,0,85,0,0,0,0,0,0
"ASV_256",153,159,116,0,426,0,0,372,0,100
"ASV_260",60,0,0,0,0,0,0,0,0,0
"ASV_261",4537,0,0,0,0,0,0,0,0,0
"ASV_264",0,0,0,0,0,0,118,0,0,1175
"ASV_268",0,0,821,0,0,0,0,6,0,0
"ASV_273",0,0,0,85,0,0,0,0,0,0
"ASV_274",0,0,6,90,0,354,3111,222,690,428
"ASV_276",126,4,775,0,0,107,0,0,0,0
"ASV_278",0,0,0,0,0,94,0,8,0,0
"ASV_279",457,10,449,3944,371,0,0,0,0,0
"ASV_280",0,158,0,0,0,107,0,14,4311,6
"ASV_281",0,0,0,109,0,0,0,0,0,0
"ASV_284",0,0,4,76,0,302,0,10,0,4
"ASV_286",595,93,75,7043,0,0,0,0,0,4
"ASV_288",0,0,0,0,0,0,0,18,0,0
"ASV_289",726,122,33,4811,73,0,0,0,0,0
"ASV_291",0,26,5,62,0,404,328,179,3470,92
"ASV_294",0,9,3,43,0,326,277,225,890,490
"ASV_295",0,3,0,0,0,0,0,0,0,0
"ASV_298",0,0,24,0,0,709,0,326,158,510
"ASV_299",118,16,512,0,35,91,0,94,47,137
"ASV_301",0,0,748,0,0,0,0,0,0,0
"ASV_302",0,0,0,38,0,47,0,4,16,0
"ASV_303",0,0,0,38,0,0,0,4,0,0
"ASV_305",0,0,0,142,0,0,0,0,0,0
"ASV_306",614,3,211,7119,0,0,0,8,0,0
"ASV_307",0,0,0,502,0,0,0,0,0,0
"ASV_309",2885,7,144,180,0,0,0,38,0,0
"ASV_312",0,0,17,0,0,936,805,19,245,671
"ASV_314",216,1,654,237,0,0,0,0,0,7
"ASV_316",0,0,0,0,0,0,0,0,0,6
"ASV_319",13,0,0,12106,343,0,0,0,0,0
"ASV_322",125,253,299,0,0,0,0,0,0,4
"ASV_328",73,3,14,645,0,0,0,0,0,6
"ASV_331",43,0,11,0,0,680,0,582,712,81
"ASV_332",56,8,0,11859,0,0,0,0,0,16
"ASV_335",170,182,121,81,0,242,0,77,0,21
"ASV_336",0,1,0,95,0,0,0,0,0,0
"ASV_338",0,42,5,123,0,529,415,0,3301,21
"ASV_344",0,0,0,0,0,0,0,6,0,0
"ASV_347",0,0,4,24,0,0,0,0,0,0
"ASV_355",0,0,0,0,0,70,205,228,154,334
"ASV_358",0,6,26,0,0,0,0,0,0,0
"ASV_361",90,31,2,9285,456,0,0,0,0,0
"ASV_363",46,2,311,0,0,0,1481,21,730,171
"ASV_365",0,0,2,0,0,0,0,0,0,4
"ASV_369",0,0,0,0,0,42,0,0,0,15
"ASV_370",0,0,0,71,0,0,0,0,0,0
"ASV_372",0,3,0,0,0,63,215,717,361,19
"ASV_376",0,0,0,171,0,0,0,0,0,0
"ASV_377",0,0,0,95,0,0,0,0,0,0
"ASV_378",670,3,238,4152,0,0,0,0,0,0
"ASV_379",126,2,534,0,0,0,0,0,0,0
"ASV_393",520,133,42,3844,0,0,0,0,0,13
"ASV_394",0,11,0,0,0,0,0,0,0,779
"ASV_395",264,20,209,0,135,44,0,0,0,5
"ASV_397",0,0,0,0,0,0,205,0,0,748
"ASV_403",805,10,172,2171,0,0,72,40,0,24
"ASV_408",0,0,0,10115,0,0,0,0,0,0
"ASV_409",0,2,0,0,0,308,523,48,187,105
"ASV_410",0,0,0,0,0,172,108,124,0,607
"ASV_411",445,0,0,8589,0,0,0,0,0,0
"ASV_413",0,0,0,0,0,89,436,345,254,182
"ASV_415",25,9,159,0,659,0,67,0,0,28
"ASV_416",6,5,525,38,0,0,0,2,0,0
"ASV_417",743,0,402,0,0,0,0,0,0,0
"ASV_420",0,0,0,0,0,0,0,0,0,6
"ASV_423",0,0,0,52,30,0,0,3,0,0
"ASV_425",14,0,0,71,0,0,0,0,0,0
"ASV_429",0,0,11,0,0,0,0,0,0,0
"ASV_431",0,0,22,0,0,493,584,155,821,169
"ASV_436",140,0,12,8589,0,0,0,0,0,0
"ASV_439",125,54,377,0,180,0,0,0,0,0
"ASV_444",1219,36,5,3052,0,0,0,0,71,0
"ASV_445",0,10,80,0,173,0,0,0,102,47
"ASV_447",0,0,50,502,0,0,0,0,89,0
"ASV_451",429,57,0,4437,712,18,123,0,0,0
"ASV_453",0,0,3,0,0,310,630,64,347,327
"ASV_454",25,5,3,284,0,78,1256,182,608,131
"ASV_456",278,4,220,3124,65,0,62,2,18,1
"ASV_460",1826,12,85,0,0,0,123,29,134,0
"ASV_461",114,7,0,7077,0,0,0,0,0,3
"ASV_462",0,0,2,0,0,0,0,0,62,0
"ASV_464",0,0,0,0,0,0,1697,140,1743,75
"ASV_468",0,0,0,0,0,0,0,11,0,0
"ASV_469",402,4,20,867,0,0,1097,18,962,174
"ASV_473",52,213,45,0,238,323,21,20,16,14
"ASV_475",0,0,0,0,0,0,0,0,0,7
"ASV_476",0,0,0,114,0,0,0,0,0,0
"ASV_480",22,0,3,0,0,0,0,0,0,7
"ASV_484",0,0,0,0,0,0,0,17,0,197
"ASV_485",0,0,0,0,0,154,0,161,272,40
"ASV_490",0,0,36,194,0,0,0,65,0,506
"ASV_494",0,1,0,28,0,537,343,275,323,107
"ASV_497",56,169,111,379,55,0,0,0,0,0
"ASV_501",125,38,0,0,0,0,0,2,0,5
"ASV_505",35,12,384,422,0,0,36,0,29,0
"ASV_511",660,3,13,3086,0,0,0,0,0,0
"ASV_513",0,0,0,47,0,0,0,0,0,17
"ASV_521",0,0,6,0,0,44,174,214,60,234
"ASV_522",0,0,0,166,0,0,0,0,0,0
"ASV_523",0,10,33,0,0,503,0,255,1349,0
"ASV_527",498,4,327,0,0,0,0,0,0,0
"ASV_528",869,8,24,3744,10,0,256,0,91,0
"ASV_530",0,0,72,6423,0,0,0,0,0,0
"ASV_533",0,0,0,0,0,115,1122,61,0,427
"ASV_535",31,8,0,57,0,128,1138,162,383,172
"ASV_536",17,210,0,1863,0,0,0,0,0,0
"ASV_537",1206,93,30,128,0,0,67,15,45,0
"ASV_540",397,52,175,114,0,0,364,77,105,0
"ASV_543",0,278,0,0,0,0,0,0,0,0
"ASV_544",372,0,198,0,0,0,0,97,0,0
"ASV_546",0,5,0,33,0,169,138,152,872,62
"ASV_547",0,0,12,114,0,0,0,13,2019,0
"ASV_548",0,5,53,0,0,566,62,87,0,51
"ASV_550",0,0,0,90,0,0,0,0,0,0
"ASV_552",0,0,7,0,0,0,0,0,0,0
"ASV_553",0,0,0,0,0,0,0,19,0,57
"ASV_561",0,0,0,0,0,0,0,594,0,0
"ASV_563",41,0,0,891,0,0,0,148,125,44
"ASV_571",15,3,4,204,0,0,0,0,0,5
"ASV_572",21,0,368,142,0,0,0,0,0,0
"ASV_573",0,0,4,19,0,50,0,0,0,0
"ASV_577",328,30,15,4242,25,0,0,0,0,3
"ASV_578",66,0,0,327,0,0,0,0,0,0
"ASV_580",35,8,0,6441,175,0,0,0,0,0
"ASV_581",0,0,36,0,0,0,0,0,0,92
"ASV_584",130,174,44,0,23,0,97,0,18,25
"ASV_592",463,6,76,1967,138,0,0,0,0,0
"ASV_593",0,3,0,71,0,0,0,0,0,9
"ASV_597",499,2,2,5086,0,0,0,0,0,3
"ASV_608",0,0,0,0,0,21,0,0,0,3
"ASV_610",0,0,0,0,0,0,0,0,0,11
"ASV_613",0,0,0,0,0,0,174,0,0,507
"ASV_617",0,0,4,446,0,0,0,0,0,0
"ASV_619",933,6,77,1270,28,0,0,3,0,2
"ASV_624",1195,0,136,0,0,0,0,0,0,10
"ASV_625",0,0,0,43,0,0,56,142,0,0
"ASV_634",28,0,72,0,48,0,0,0,0,0
"ASV_636",111,8,36,4309,0,0,0,0,0,0
"ASV_637",0,0,6,6460,0,0,0,0,0,0
"ASV_642",0,0,0,0,0,696,0,368,165,0
"ASV_643",50,23,248,0,0,0,0,5,0,62
"ASV_646",0,0,0,71,0,0,0,0,0,0
"ASV_647",494,0,51,1266,389,0,0,0,0,0
"ASV_648",21,0,0,0,0,0,0,0,0,0
"ASV_651",0,0,13,0,0,172,302,43,830,0
"ASV_667",171,4,79,1479,0,0,108,179,20,10
"ASV_673",0,0,6,0,0,83,354,95,507,13
"ASV_675",0,0,317,0,0,0,0,0,0,0
"ASV_680",0,0,0,0,0,237,600,0,0,359
"ASV_682",0,0,0,85,0,0,0,0,0,0
"ASV_686",0,0,0,104,40,0,0,0,0,0
"ASV_687",14,0,43,0,38,0,46,397,0,0
"ASV_691",0,0,0,0,0,96,0,65,0,26
"ASV_695",0,0,0,0,0,70,641,72,815,20
"ASV_697",0,0,0,0,0,1019,0,42,131,0
"ASV_698",0,24,21,0,0,0,0,0,2270,0
"ASV_706",928,0,84,673,0,0,62,0,47,22
"ASV_710",572,111,0,412,0,0,390,3,0,0
"ASV_711",0,0,0,0,0,0,190,9,4,238
"ASV_713",59,68,28,2583,0,0,0,0,0,0
"ASV_716",111,0,29,100,343,0,123,15,205,0
"ASV_725",0,0,0,0,0,0,718,51,0,329
"ASV_727",0,9,3,47,0,112,0,19,532,0
"ASV_730",0,0,281,0,0,112,0,0,0,0
"ASV_731",0,0,297,0,0,0,0,0,0,0
"ASV_733",0,0,4,0,0,237,0,77,1113,0
"ASV_736",0,12,17,76,0,0,0,322,0,16
"ASV_737",536,0,42,1232,50,0,51,2,0,0
"ASV_747",344,0,164,687,253,0,0,0,0,0
"ASV_749",222,55,17,1526,0,0,0,28,0,0
"ASV_752",224,102,6,1631,0,0,0,0,0,0
"ASV_755",0,0,14,0,0,0,62,147,296,31
"ASV_756",330,4,118,1142,20,94,0,19,0,0
"ASV_757",0,0,15,280,0,209,0,0,0,0
"ASV_760",0,0,0,0,0,0,0,0,0,9
"ASV_761",571,0,80,1000,0,0,0,0,352,0
"ASV_766",34,2,0,0,0,44,559,147,269,58
"ASV_778",290,0,0,2659,0,0,0,0,0,0
"ASV_779",0,0,275,47,0,0,0,0,0,0
"ASV_780",11,0,0,0,0,36,0,290,0,87
"ASV_782",1221,24,13,0,0,0,0,0,0,0
"ASV_785",0,2,42,0,812,0,369,18,0,43
"ASV_787",60,26,168,0,0,0,0,0,0,0
"ASV_788",0,0,0,0,0,0,0,399,0,0
"ASV_793",192,0,0,0,0,0,0,0,0,0
"ASV_801",0,0,0,0,647,0,0,0,0,0
"ASV_803",402,0,53,1687,83,0,0,0,0,6
"ASV_804",0,0,3,0,0,138,31,58,156,76
"ASV_806",439,5,17,1280,0,0,0,0,0,0
"ASV_807",0,0,0,0,0,0,92,0,0,94
"ASV_808",300,0,37,0,0,0,0,0,0,0
"ASV_813",0,0,0,0,0,0,789,107,176,122
"ASV_815",425,25,0,2560,0,0,0,0,0,0
"ASV_818",0,0,0,0,0,2155,0,0,0,68
"ASV_819",0,0,0,118,0,0,0,0,0,0
"ASV_821",0,0,15,0,0,250,0,213,265,64
"ASV_827",0,0,0,0,0,0,851,79,87,97
"ASV_829",160,57,3,2232,0,0,0,0,0,7
"ASV_832",489,14,76,1275,0,0,0,0,0,0
"ASV_846",255,5,19,76,0,0,241,42,120,146
"ASV_847",135,0,0,0,0,63,0,6,0,0
"ASV_852",0,0,0,0,0,0,769,78,49,88
"ASV_859",0,1,0,33,0,23,97,55,53,104
"ASV_860",0,0,0,0,0,0,118,0,0,7
"ASV_866",0,0,0,0,0,0,0,0,0,348
